title,author,user_rating,livelib_rating,url,cover,publisher,year,favorite
"Мы","Евгений Замятин","3","4","https://www.livelib.ru/book/1000469874","/covers/1000469874.jpg","Дрофа","1998","false"
"О дивный новый мир. Слепец в Газе","Олдос Хаксли","3","4,2","https://www.livelib.ru/book/1006116352","/covers/1006116352.jpg","АСТ","2020","false"
"Марсианские хроники","Рэй Брэдбери","5","4,4","https://www.livelib.ru/book/1000494843","/covers/1000494843.jpg","Эксмо, Домино","2011","false"
"Нетопырь","Ю Несбё","5","3,7","https://www.livelib.ru/book/1000583376","/covers/1000583376.jpg","Азбука, Азбука-Аттикус","2012","false"
"Тараканы","Ю Несбё","5","3,9","https://www.livelib.ru/book/1000608539","/covers/1000608539.jpg","Азбука, Азбука-Аттикус","2013","false"
"Красношейка","Ю Несбё","5","4,3","https://www.livelib.ru/book/1000608552","/covers/1000608552.jpg","Азбука, Азбука-Аттикус","2013","false"
"Немезида","Ю Несбё","5","4,3","https://www.livelib.ru/book/1002275255","/covers/1002275255.jpg","Азбука, Азбука-Аттикус","2017","false"
"Пентаграмма","Ю Несбё","5","4,3","https://www.livelib.ru/book/1000663056","/covers/1000663056.jpg","Азбука, Азбука-Аттикус","2013","false"
"Дюна","Фрэнк Герберт","5","4,4","https://www.livelib.ru/book/1003752474","/covers/1003752474.jpg","АСТ, Neoclassic","2020","false"
"Метель","Владимир Сорокин","4","3,9","https://www.livelib.ru/book/1002837842","/covers/1002837842.jpg","АСТ, Corpus","2018","false"
"А зори здесь тихие... Повести","Борис Васильев","5","4,7","https://www.livelib.ru/book/1001212859","/covers/1001212859.jpg","Эксмо","2015","false"
"В списках не значился","Борис Васильев","5","4,7","https://www.livelib.ru/book/1002758104","/covers/1002758104.jpg","АСТ","2018","false"
"Правда о деле Гарри Квеберта","Жоэль Диккер","5","4,4","https://www.livelib.ru/book/1002494679","/covers/1002494679.jpg","АСТ, Corpus","2017","true"
"Три товарища","Эрих Мария Ремарк","4","4,5","https://www.livelib.ru/book/1003221872","/covers/1003221872.jpg","АСТ","2019","false"
"Колыбельная","Чак Паланик","1","3,9","https://www.livelib.ru/book/1006721248","/covers/1006721248.jpg","АСТ","2020","false"
"Морской волк","Джек Лондон","5","4,4","https://www.livelib.ru/book/1005420379","/covers/1005420379.jpg","НИГМА","2020","false"
"Капитанская дочка. Повести","Александр Пушкин","4","4,2","https://www.livelib.ru/book/1005934645","/covers/1005934645.jpg","Эксмо","2021","false"
"Женщины","Чарльз Буковски","3","3,6","https://www.livelib.ru/book/1000468045","/covers/1000468045.jpg","Эксмо, Домино","2009","false"
"Фактотум","Чарльз Буковски","3","3,9","https://www.livelib.ru/book/1000613463","/covers/1000613463.jpg","Эксмо","2013","false"
"Хлеб с ветчиной","Чарльз Буковски","3","4,1","https://www.livelib.ru/book/1000504586","/covers/1000504586.jpg","Эксмо","2012","false"
"Искусство войны","Сунь-Цзы","4","4","https://www.livelib.ru/book/1002731547","/covers/1002731547.jpg","АСТ","2017","false"
"Повелитель мух","Уильям Голдинг","3","4","https://www.livelib.ru/book/1002688710","/covers/1002688710.jpg","Эксмо","2017","false"
"Таинственная история Билли Миллигана","Дэниел Киз","4","4,4","https://www.livelib.ru/book/1005658867","/covers/1005658867.jpg","Эксмо","2021","false"
"А зори здесь тихие. ..","Борис Васильев","5","4,7","https://www.livelib.ru/book/1016983744","/covers/1016983744.jpg","Проспект","2026","false"
"Скотный Двор","Джордж Оруэлл","4","4,5","https://www.livelib.ru/book/1017966118","/covers/1017966118.jpg","Мартин","2025","false"
"1984","Джордж Оруэлл","0,5","4,4","https://www.livelib.ru/book/1017966235","/covers/1017966235.jpg","Мартин","2026","false"
